"File","Line","SecretType","Severity","MatchedValue","FullLine"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","19","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","String awsAccessKey = 'AKIAIOSFODNN7EXAMPLE';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","6","Stripe Secret Key","High","sk_test_51H8fOeExampleKey123456","private static final String API_KEY = 'sk_test_51H8fOeExampleKey123456';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","15","Stripe Secret Key","High","sk_live_4eC39HqLyjWDarjtT1zdp7dc","private static final String STRIPE_SECRET_KEY = ""sk_live_4eC39HqLyjWDarjtT1zdp7dc"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","16","GitHub Token","High","ghp_1234567890abcdefghijklmnopqrstuvwxyz","private static final String GITHUB_TOKEN = ""ghp_1234567890abcdefghijklmnopqrstuvwxyz"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","34","Slack Bot Token","High","xoxb-123456789012-abcdefghijklmnopqrstuvwx","String slackToken = ""xoxb-123456789012-abcdefghijklmnopqrstuvwx"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","11","Google API Key","High","AIzaSyA-ExampleGoogleAPIKey123456","API_KEY=""AIzaSyA-ExampleGoogleAPIKey123456"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","14","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","AWS_ACCESS_KEY_ID=""AKIAIOSFODNN7EXAMPLE"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","18","Connection String With Creds","High","postgresql://admin:Admin@1234!@","DB_CONN=""postgresql://admin:Admin@1234!@localhost:5432/sampledb"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","24","Stripe Secret Key","High","sk_test_51ExampleSecretKey","curl -H ""Authorization: Bearer sk_test_51ExampleSecretKey"" https://api.example.com/data"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","15","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","24","Stripe Secret Key","High","sk_live_4eC39HqLyjWDarjtT1zdp7dc","export STRIPE_SECRET_KEY=""sk_live_4eC39HqLyjWDarjtT1zdp7dc"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","6","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","GITHUB_TOKEN=""ghp_abcdefghijklmnopqrstuvwxyz123456"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","9","Slack Bot Token","High","xoxb-123456789012-abcdefghijklmnopqrstuvwx","SLACK_BOT_TOKEN=""xoxb-123456789012-abcdefghijklmnopqrstuvwx"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","10","Stripe Secret Key","High","sk_test_51ExampleSecretKey123456","2026-05-11 10:16:02 DEBUG [APIClient] Authorization header: Bearer sk_test_51ExampleSecretKey123456"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","12","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","2026-05-11 10:16:10 WARN  [AWSClient] Using AWS credentials: AccessKey=AKIAIOSFODNN7EXAMPLE SecretKey=wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","14","Slack Webhook","High","https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX","2026-05-11 10:16:20 DEBUG [WebhookService] Slack webhook URL triggered: https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","16","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","2026-05-11 10:16:30 INFO  [GitHubSync] Using GitHub token: ghp_abcdefghijklmnopqrstuvwxyz123456"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","21","Connection String With Creds","High","ftp://user:ftpPass@123@","2026-05-11 10:17:00 ERROR [FTPService] Connection failed for ftp://user:ftpPass@123@ftp.example.com"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","29","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","-----BEGIN RSA PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","4","Connection String With Creds","High","jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@","2026-05-11 10:15:30 INFO  [DBConnection] Connecting to DB: jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","14","Google API Key","High","AIzaSyA1234567890abcdef1234567890abcd","set API_KEY=AIzaSyA1234567890abcdef1234567890abcd"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","15","Stripe Secret Key","High","sk_test_51H8abcXYZ1234567890abcdef","set STRIPE_KEY=sk_test_51H8abcXYZ1234567890abcdef"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","18","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","set AWS_ACCESS_KEY_ID=AKIAIOSFODNN7EXAMPLE"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","25","Private Key Header","Critical","-----BEGIN PRIVATE KEY-----","set PRIVATE_KEY=-----BEGIN PRIVATE KEY-----"
