"File","Line","SecretType","Severity","MatchedValue","FullLine"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","24","Stripe Secret Key","High","sk_test_51ExampleSecretKey","curl -H ""Authorization: Bearer sk_test_51ExampleSecretKey"" https://api.example.com/data"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","6","Generic Password Assignment","Medium","TOKEN=""ghp_abcdefghijklmnopqrstuvwxyz123456""","GITHUB_TOKEN=""ghp_abcdefghijklmnopqrstuvwxyz123456"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","6","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","GITHUB_TOKEN=""ghp_abcdefghijklmnopqrstuvwxyz123456"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","9","Generic Password Assignment","Medium","TOKEN=""xoxb-123456789012-abcdefghijklmnopqrstuvwx""","SLACK_BOT_TOKEN=""xoxb-123456789012-abcdefghijklmnopqrstuvwx"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","9","Slack Bot Token","High","xoxb-123456789012-abcdefghijklmnopqrstuvwx","SLACK_BOT_TOKEN=""xoxb-123456789012-abcdefghijklmnopqrstuvwx"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","12","Base64 Credential","Medium","dXNlcjpwYXNzd29yZA==","BASIC_AUTH=""dXNlcjpwYXNzd29yZA=="""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","15","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","23","Generic Password Assignment","Medium","PASSWORD=""Prod@5678!""","export PROD_DB_PASSWORD=""Prod@5678!"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","24","Stripe Secret Key","High","sk_live_4eC39HqLyjWDarjtT1zdp7dc","export STRIPE_SECRET_KEY=""sk_live_4eC39HqLyjWDarjtT1zdp7dc"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.bash","26","Generic Password Assignment","Medium","Password = ""PassWord1@345""","export DB_Password = ""PassWord1@345"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","2","Generic Password Assignment","Medium","password=Admin@1234!","2026-05-11 10:15:24 DEBUG [ConfigLoader] Loaded DB config: user=admin password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","4","Connection String With Creds","High","jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@","2026-05-11 10:15:30 INFO  [DBConnection] Connecting to DB: jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","4","Generic Password Assignment","Medium","password=Admin@1234!","2026-05-11 10:15:30 INFO  [DBConnection] Connecting to DB: jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","7","Base64 Credential","Medium","dXNlcjpwYXNzd29yZA==","2026-05-11 10:15:35 DEBUG [AuthService] Received Basic Auth token: dXNlcjpwYXNzd29yZA=="
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","7","Generic Password Assignment","Medium","token: dXNlcjpwYXNzd29yZA==","2026-05-11 10:15:35 DEBUG [AuthService] Received Basic Auth token: dXNlcjpwYXNzd29yZA=="
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","10","Stripe Secret Key","High","sk_test_51ExampleSecretKey123456","2026-05-11 10:16:02 DEBUG [APIClient] Authorization header: Bearer sk_test_51ExampleSecretKey123456"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","12","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","2026-05-11 10:16:10 WARN  [AWSClient] Using AWS credentials: AccessKey=AKIAIOSFODNN7EXAMPLE SecretKey=wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","14","Slack Webhook","High","https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX","2026-05-11 10:16:20 DEBUG [WebhookService] Slack webhook URL triggered: https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","16","Generic Password Assignment","Medium","token: ghp_abcdefghijklmnopqrstuvwxyz123456","2026-05-11 10:16:30 INFO  [GitHubSync] Using GitHub token: ghp_abcdefghijklmnopqrstuvwxyz123456"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","16","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","2026-05-11 10:16:30 INFO  [GitHubSync] Using GitHub token: ghp_abcdefghijklmnopqrstuvwxyz123456"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","21","Connection String With Creds","High","ftp://user:ftpPass@123@","2026-05-11 10:17:00 ERROR [FTPService] Connection failed for ftp://user:ftpPass@123@ftp.example.com"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","29","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","-----BEGIN RSA PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testing.log","35","Generic Password Assignment","Medium","PASSWORD=Prod@5678!","2026-05-11 10:18:10 INFO  [System] Exported env variable PROD_DB_PASSWORD=Prod@5678!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","10","Generic Password Assignment","Medium","PASSWORD=SuperSecret123!","set DB_PASSWORD=SuperSecret123!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","14","Generic Password Assignment","Medium","API_KEY=AIzaSyA1234567890abcdef1234567890abcd","set API_KEY=AIzaSyA1234567890abcdef1234567890abcd"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","14","Google API Key","High","AIzaSyA1234567890abcdef1234567890abcd","set API_KEY=AIzaSyA1234567890abcdef1234567890abcd"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","15","Stripe Secret Key","High","sk_test_51H8abcXYZ1234567890abcdef","set STRIPE_KEY=sk_test_51H8abcXYZ1234567890abcdef"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","18","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","set AWS_ACCESS_KEY_ID=AKIAIOSFODNN7EXAMPLE"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","22","Generic Password Assignment","Medium","TOKEN=Bearer","set ACCESS_TOKEN=Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.fake.jwt.token"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","22","JWT/Bearer Token","Medium","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.fake.jwt","set ACCESS_TOKEN=Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.fake.jwt.token"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","25","Private Key Header","Critical","-----BEGIN PRIVATE KEY-----","set PRIVATE_KEY=-----BEGIN PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","30","Generic Password Assignment","Medium","Password=Password@123","set DB_CONN=Server=myserver;Database=mydb;User Id=admin;Password=Password@123;"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","34","Generic Password Assignment","Medium","TOKEN=abc123xyz987token","set AUTH_TOKEN=abc123xyz987token"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\testsecrets.bat","35","Generic Password Assignment","Medium","PWD=Passw0rd!","set PWD=Passw0rd!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Untitled-1.xml","23","Generic Password Assignment","Medium","SECRET: AWS-style","<!-- âš ï¸ FAKE SECRET: AWS-style Access Key -->"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Untitled-1.xml","28","Generic Password Assignment","Medium","SECRET: AWS-style","<!-- âš ï¸ FAKE SECRET: AWS-style Secret Key -->"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Untitled-1.xml","31","Generic Password Assignment","Medium","SECRET: Generic","<!-- âš ï¸ FAKE SECRET: Generic API Token -->"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Untitled-1.xml","40","Generic Password Assignment","Medium","SECRET: Bearer","<!-- âš ï¸ FAKE SECRET: Bearer Token -->"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Untitled-3.md","8","JWT/Bearer Token","Medium","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.fakePayload.fakeSignature","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.fakePayload.fakeSignature"
